from,to,year,award,weight,category
Daisy Edgar-Jones,Golden Globe,2023,Golden Globe,2,acting
Julia Garner,Golden Globe,2023,Golden Globe,2,acting
Sheryl Lee Ralph,Golden Globe,2023,Golden Globe,1,acting
Janelle James,Golden Globe,2023,Golden Globe,1,acting
Hannah Einbinder,Golden Globe,2023,Golden Globe,1,acting
Elizabeth Debicki,Golden Globe,2023,Golden Globe,1,acting
Angela Bassett,Golden Globe,2023,Golden Globe,2,acting
Carey Mulligan,Golden Globe,2023,Golden Globe,1,acting
Dolly de Leon,Golden Globe,2023,Golden Globe,1,acting
Jamie Lee Curtis,Golden Globe,2023,Golden Globe,1,acting
Kerry Condon,Golden Globe,2023,Golden Globe,1,acting
Quinta Brunson,Golden Globe,2023,Golden Globe,2,acting
Selena Gomez,Golden Globe,2023,Golden Globe,1,acting
Kaley Cuoco,Golden Globe,2023,Golden Globe,1,acting
Jenna Ortega,Golden Globe,2023,Golden Globe,1,acting
Jean Smart,Golden Globe,2023,Golden Globe,1,acting
Amanda Seyfried,Golden Globe,2023,Golden Globe,2,acting
Jessica Chastain,Golden Globe,2023,Golden Globe,1,acting
Julia Roberts,Golden Globe,2023,Golden Globe,1,acting
Lily James,Golden Globe,2023,Golden Globe,1,acting
Zendaya,Golden Globe,2023,Golden Globe,2,acting
Laura Linney,Golden Globe,2023,Golden Globe,1,acting
Imelda Staunton,Golden Globe,2023,Golden Globe,1,acting
Hilary Swank,Golden Globe,2023,Golden Globe,1,acting
Emma D’Arcy,Golden Globe,2023,Golden Globe,1,acting
Nicole Kidman,Golden Globe,2022,Golden Globe,2,acting
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting
Kristen Stewart,Golden Globe,2022,Golden Globe,1,acting
Lady Gaga,Golden Globe,2022,Golden Globe,1,acting
Olivia Colman,Golden Globe,2022,Golden Globe,1,acting
Ariana DeBose,Golden Globe,2022,Golden Globe,2,acting
Aunjanue Ellis,Golden Globe,2022,Golden Globe,1,acting
Caitriona Balfe,Golden Globe,2022,Golden Globe,1,acting
Kirsten Dunst,Golden Globe,2022,Golden Globe,1,acting
Ruth Negga,Golden Globe,2022,Golden Globe,1,acting
Jean Smart,Golden Globe,2022,Golden Globe,2,acting
Tracee Ellis Ross,Golden Globe,2022,Golden Globe,1,acting
Elle Fanning,Golden Globe,2022,Golden Globe,1,acting
Hannah Einbinder,Golden Globe,2022,Golden Globe,1,acting
Issa Rae,Golden Globe,2022,Golden Globe,1,acting
Kate Winslet,Golden Globe,2022,Golden Globe,2,acting
Cynthia Erivo,Golden Globe,2022,Golden Globe,1,acting
Elizabeth Olsen,Golden Globe,2022,Golden Globe,1,acting
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting
Margaret Qualley,Golden Globe,2022,Golden Globe,1,acting
Michaela Jaé Rodriguez,Golden Globe,2022,Golden Globe,2,acting
Uzo Aduba,Golden Globe,2022,Golden Globe,1,acting
Jennifer Aniston,Golden Globe,2022,Golden Globe,1,acting
Elisabeth Moss,Golden Globe,2022,Golden Globe,1,acting
Christine Baranski,Golden Globe,2022,Golden Globe,1,acting
Sarah Snook,Golden Globe,2022,Golden Globe,2,acting
Kaitlyn Dever,Golden Globe,2022,Golden Globe,1,acting
Jennifer Coolidge,Golden Globe,2022,Golden Globe,1,acting
Hannah Waddingham,Golden Globe,2022,Golden Globe,1,acting
Andie MacDowell,Golden Globe,2022,Golden Globe,1,acting
Rachel Zegler,Golden Globe,2022,Golden Globe,2,acting
Marion Cotillard,Golden Globe,2022,Golden Globe,1,acting
Jennifer Lawrence,Golden Globe,2022,Golden Globe,1,acting
Emma Stone,Golden Globe,2022,Golden Globe,1,acting
Alana Haim,Golden Globe,2022,Golden Globe,1,acting
Zendaya,Emmys,2022,Emmys,2,acting
Jodie Comer,Emmys,2022,Emmys,1,acting
Laura Linney,Emmys,2022,Emmys,1,acting
Melanie Lynskey,Emmys,2022,Emmys,1,acting
Sandra Oh,Emmys,2022,Emmys,1,acting
Reese Witherspoon,Emmys,2022,Emmys,1,acting
Julia Garner,Emmys,2022,Emmys,2,acting
Patricia Arquette,Emmys,2022,Emmys,1,acting
Jung Ho-yeon,Emmys,2022,Emmys,1,acting
Christina Ricci,Emmys,2022,Emmys,1,acting
Rhea Seehorn,Emmys,2022,Emmys,1,acting
J. Smith-Cameron,Emmys,2022,Emmys,1,acting
Sarah Snook,Emmys,2022,Emmys,1,acting
Sydney Sweeney,Emmys,2022,Emmys,1,acting
Jean Smart,Emmys,2022,Emmys,2,acting
Rachel Brosnahan,Emmys,2022,Emmys,1,acting
Quinta Brunson,Emmys,2022,Emmys,1,acting
Kaley Cuoco,Emmys,2022,Emmys,1,acting
Elle Fanning,Emmys,2022,Emmys,1,acting
Issa Rae,Emmys,2022,Emmys,1,acting
Sheryl Lee Ralph,Emmys,2022,Emmys,2,acting
Alex Borstein,Emmys,2022,Emmys,1,acting
Hannah Einbinder,Emmys,2022,Emmys,1,acting
Janelle James,Emmys,2022,Emmys,1,acting
Kate McKinnon,Emmys,2022,Emmys,1,acting
Sarah Niles,Emmys,2022,Emmys,1,acting
Juno Temple,Emmys,2022,Emmys,1,acting
Hannah Waddingham,Emmys,2022,Emmys,1,acting
Amanda Seyfried,Emmys,2022,Emmys,2,acting
Toni Collette,Emmys,2022,Emmys,1,acting
Lily James,Emmys,2022,Emmys,1,acting
Sarah Paulson,Emmys,2022,Emmys,1,acting
Margaret Qualley,Emmys,2022,Emmys,1,acting
Jennifer Coolidge,Emmys,2022,Emmys,2,acting
Connie Britton,Emmys,2022,Emmys,1,acting
Alexandra Daddario,Emmys,2022,Emmys,1,acting
Kaitlyn Dever,Emmys,2022,Emmys,1,acting
Natasha Rothwell,Emmys,2022,Emmys,1,acting
Mare Winningham,Emmys,2022,Emmys,1,acting
